date,title,artist,rank
2020-12-26,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,12
2020-12-26,Holy,Justin Bieber Featuring Chance The Rapper,13
2020-12-26,Last Christmas,Wham!,14
2020-12-26,The Christmas Song (Merry Christmas To You),Nat King Cole,15
2020-12-26,Go Crazy,Chris Brown & Young Thug,16
2020-12-26,Laugh Now Cry Later,Drake Featuring Lil Durk,17
2020-12-26,Blinding Lights,The Weeknd,18
2020-12-26,Sleigh Ride,The Ronettes,19
2020-12-26,I Hope,Gabby Barrett Featuring Charlie Puth,20
2020-12-26,Champagne Problems,Taylor Swift,21
2020-12-26,Body,Megan Thee Stallion,22
2020-12-26,Dakiti,Bad Bunny & Jhay Cortez,23
2020-12-26,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,24
2020-12-26,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,25
2020-12-26,Happy Holiday / The Holiday Season,Andy Williams,26
2020-12-26,Levitating,Dua Lipa Featuring DaBaby,27
2020-12-26,Underneath The Tree,Kelly Clarkson,28
2020-12-26,Run Rudolph Run,Chuck Berry,29
2020-12-26,Kings & Queens,Ava Max,30
2020-12-26,Rudolph The Red-Nosed Reindeer,Gene Autry,31
2020-12-26,Santa Tell Me,Ariana Grande,32
2020-12-26,Bang!,AJR,33
2020-12-26,"No Body, No Crime",Taylor Swift Featuring HAIM,34
2020-12-26,34+35,Ariana Grande,35
2020-12-26,Therefore I Am,Billie Eilish,36
2020-12-26,Christmas (Baby Please Come Home),Darlene Love,37
2020-12-26,White Christmas,Bing Crosby,38
2020-12-26,'Tis The Damn Season,Taylor Swift,39
2020-12-26,Gold Rush,Taylor Swift,40
2020-12-26,Tequila Shots,Kid Cudi,41
2020-12-26,It's Beginning To Look A Lot Like Christmas,Michael Buble,42
2020-12-26,(There's No Place Like) Home For The Holidays,Perry Como,43
2020-12-26,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",44
2020-12-26,Tolerate It,Taylor Swift,45
2020-12-26,Wonderful Christmastime,Paul McCartney,46
2020-12-26,Deck The Halls,Nat King Cole,47
2020-12-26,What You Know Bout Love,Pop Smoke,48
2020-12-26,She Knows This,Kid Cudi,49
2020-12-26,Rockstar,DaBaby Featuring Roddy Ricch,50
2020-12-26,Lonely,Justin Bieber & benny blanco,51
2020-12-26,Happiness,Taylor Swift,52
2020-12-26,Whoopty,CJ,53
2020-12-26,Show Out,"Kid Cudi, Skepta & Pop Smoke",54
2020-12-26,WAP,Cardi B Featuring Megan Thee Stallion,55
2020-12-26,Holiday,Lil Nas X,56
2020-12-26,Evermore,Taylor Swift Featuring Bon Iver,57
2020-12-26,Take Me Home For Christmas,Dan + Shay,58
2020-12-26,Better Together,Luke Combs,59
2020-12-26,On Me,Lil Baby,60
2020-12-26,Ivy,Taylor Swift,61
2020-12-26,Monster,Shawn Mendes & Justin Bieber,62
2020-12-26,Coney Island,Taylor Swift Featuring The National,63
2020-12-26,Another Day,Kid Cudi,64
2020-12-26,Hawai,Maluma & The Weeknd,65
2020-12-26,Diamonds,Sam Smith,66
2020-12-26,Dorothea,Taylor Swift,67
2020-12-26,Long Story Short,Taylor Swift,68
2020-12-26,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,69
2020-12-26,I Should Probably Go To Bed,Dan + Shay,70
2020-12-26,Cowboy Like Me,Taylor Swift,71
2020-12-26,Starting Over,Chris Stapleton,72
2020-12-26,"Big, Big Plans",Chris Lane,73
2020-12-26,Way Out,Jack Harlow Featuring Big Sean,74
2020-12-26,Marjorie,Taylor Swift,75
2020-12-26,B.S.,Jhene Aiko Featuring H.E.R.,76
2020-12-26,Tyler Herro,Jack Harlow,77
2020-12-26,Mr. Solo Dolo III,Kid Cudi,78
2020-12-26,You Broke Me First.,Tate McRae,79
2020-12-26,Dive,Kid Cudi,80
2020-12-26,Without You,The Kid LAROI,81
2020-12-26,Closure,Taylor Swift,82
2020-12-26,Love You Like I Used To,Russell Dickerson,83
2020-12-26,Hallelujah,Carrie Underwood & John Legend,84
2020-12-26,Heaven On Earth,Kid Cudi,85
2020-12-26,My Ex's Best Friend,Machine Gun Kelly X blackbear,86
2020-12-26,Rockin' Around The Christmas Tree,Justin Bieber,87
2020-12-26,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,88
2020-12-26,Reminds Me Of You,The Kid LAROI & Juice WRLD,89
2020-12-26,Sad People,Kid Cudi,90
2020-12-26,Damaged,Kid Cudi,91
2020-12-26,Forever After All,Luke Combs,92
2020-12-26,Ain't Always The Cowboy,Jon Pardi,93
2020-12-26,Prisoner,Miley Cyrus Featuring Dua Lipa,94
2020-12-26,Cry Baby,Megan Thee Stallion Featuring DaBaby,95
2020-12-26,Good Time,Niko Moon,96
2020-12-26,Throat Baby (Go Baby),BRS Kash,97
2020-12-26,Errbody,Lil Baby,98
2020-12-26,Favorite Time Of Year,Carrie Underwood,99
2020-12-26,Beautiful Trip,Kid Cudi,100
2020-12-19,All I Want For Christmas Is You,Mariah Carey,1
2020-12-19,Mood,24kGoldn Featuring iann dior,2
2020-12-19,Rockin' Around The Christmas Tree,Brenda Lee,3
2020-12-19,Positions,Ariana Grande,4
2020-12-19,Jingle Bell Rock,Bobby Helms,5
2020-12-19,It's The Most Wonderful Time Of The Year,Andy Williams,6
2020-12-19,Blinding Lights,The Weeknd,7
2020-12-19,Laugh Now Cry Later,Drake Featuring Lil Durk,8
2020-12-19,Holy,Justin Bieber Featuring Chance The Rapper,9
2020-12-19,Feliz Navidad,Jose Feliciano,10
2020-12-19,Last Christmas,Wham!,11
2020-12-19,I Hope,Gabby Barrett Featuring Charlie Puth,12
2020-12-19,Go Crazy,Chris Brown & Young Thug,13
2020-12-19,A Holly Jolly Christmas,Burl Ives,14
2020-12-19,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,15
2020-12-19,The Christmas Song (Merry Christmas To You),Nat King Cole,16
2020-12-19,Dakiti,Bad Bunny & Jhay Cortez,17
2020-12-19,Body,Megan Thee Stallion,18
2020-12-19,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,19
